id,filepath,site,label
ZJ000000,train_features/ZJ000000.jpg,S0120,bird
ZJ000001,train_features/ZJ000001.jpg,S0069,monkey_prosimian
ZJ000002,train_features/ZJ000002.jpg,S0009,bird
ZJ000003,train_features/ZJ000003.jpg,S0008,monkey_prosimian
ZJ000004,train_features/ZJ000004.jpg,S0036,leopard
ZJ000005,train_features/ZJ000005.jpg,S0019,hog
ZJ000006,train_features/ZJ000006.jpg,S0060,civet_genet
ZJ000007,train_features/ZJ000007.jpg,S0047,antelope_duiker
ZJ000008,train_features/ZJ000008.jpg,S0083,leopard
ZJ000009,train_features/ZJ000009.jpg,S0059,bird
ZJ000010,train_features/ZJ000010.jpg,S0076,leopard
ZJ000011,train_features/ZJ000011.jpg,S0014,leopard
ZJ000012,train_features/ZJ000012.jpg,S0080,monkey_prosimian
ZJ000013,train_features/ZJ000013.jpg,S0061,blank
ZJ000014,train_features/ZJ000014.jpg,S0075,monkey_prosimian
ZJ000015,train_features/ZJ000015.jpg,S0003,blank
ZJ000016,train_features/ZJ000016.jpg,S0105,leopard
ZJ000017,train_features/ZJ000017.jpg,S0080,bird
ZJ000018,train_features/ZJ000018.jpg,S0188,blank
ZJ000019,train_features/ZJ000019.jpg,S0097,monkey_prosimian
ZJ000020,train_features/ZJ000020.jpg,S0105,leopard
ZJ000021,train_features/ZJ000021.jpg,S0068,monkey_prosimian
ZJ000022,train_features/ZJ000022.jpg,S0077,antelope_duiker
ZJ000023,train_features/ZJ000023.jpg,S0038,leopard
ZJ000024,train_features/ZJ000024.jpg,S0014,monkey_prosimian
ZJ000025,train_features/ZJ000025.jpg,S0120,rodent
ZJ000026,train_features/ZJ000026.jpg,S0049,monkey_prosimian
ZJ000027,train_features/ZJ000027.jpg,S0120,monkey_prosimian
ZJ000028,train_features/ZJ000028.jpg,S0170,monkey_prosimian
ZJ000029,train_features/ZJ000029.jpg,S0061,blank
ZJ000030,train_features/ZJ000030.jpg,S0049,antelope_duiker
ZJ000031,train_features/ZJ000031.jpg,S0063,monkey_prosimian
ZJ000032,train_features/ZJ000032.jpg,S0014,hog
ZJ000033,train_features/ZJ000033.jpg,S0071,civet_genet
ZJ000034,train_features/ZJ000034.jpg,S0063,monkey_prosimian
ZJ000035,train_features/ZJ000035.jpg,S0062,rodent
ZJ000036,train_features/ZJ000036.jpg,S0060,civet_genet
ZJ000037,train_features/ZJ000037.jpg,S0073,antelope_duiker
ZJ000038,train_features/ZJ000038.jpg,S0070,monkey_prosimian
ZJ000039,train_features/ZJ000039.jpg,S0053,antelope_duiker
ZJ000040,train_features/ZJ000040.jpg,S0060,civet_genet
ZJ000041,train_features/ZJ000041.jpg,S0188,blank
ZJ000042,train_features/ZJ000042.jpg,S0171,leopard
ZJ000043,train_features/ZJ000043.jpg,S0134,antelope_duiker
ZJ000044,train_features/ZJ000044.jpg,S0059,civet_genet
ZJ000045,train_features/ZJ000045.jpg,S0077,blank
ZJ000046,train_features/ZJ000046.jpg,S0022,leopard
ZJ000047,train_features/ZJ000047.jpg,S0089,monkey_prosimian
ZJ000048,train_features/ZJ000048.jpg,S0025,monkey_prosimian
ZJ000049,train_features/ZJ000049.jpg,S0063,antelope_duiker
ZJ000050,train_features/ZJ000050.jpg,S0120,rodent
ZJ000051,train_features/ZJ000051.jpg,S0042,blank
ZJ000052,train_features/ZJ000052.jpg,S0170,hog
ZJ000053,train_features/ZJ000053.jpg,S0071,leopard
ZJ000054,train_features/ZJ000054.jpg,S0063,rodent
ZJ000055,train_features/ZJ000055.jpg,S0021,monkey_prosimian
ZJ000056,train_features/ZJ000056.jpg,S0060,civet_genet
