,id,filepath,site,conf,bbox,bbox_normalized,bbox_true,bbox_dino,Logits,pred_dino
0,ZJ016488,test_features/ZJ016488.jpg,S0082,0.63,"(323, 704, 195, 252)","[0.7291, 0.5907, 0.2708, 0.3759]",True,,,
1,ZJ016489,test_features/ZJ016489.jpg,S0040,0.733,"(283, 84, 81, 156)","[0.08333, 0.5166, 0.1708, 0.1648]",True,,,
2,ZJ016490,test_features/ZJ016490.jpg,S0040,0.363,"(291, 4, 227, 730)","[0, 0.5314, 0.7687, 0.4351]",True,,,
3,ZJ016491,test_features/ZJ016491.jpg,S0041,0.876,"(41, 4, 289, 632)","[0, 0.1104, 1.0, 0.8865]",True,,,
4,ZJ016492,test_features/ZJ016492.jpg,S0040,0.78,"(196, 360, 102, 136)","[0.3708, 0.3555, 0.15, 0.2037]",True,[184 354 118 152],0.4434385597705841,bird
5,ZJ016493,test_features/ZJ016493.jpg,S0128,0.918,"(292, 485, 48, 151)","[0.7515, 0.7999, 0.2484, 0.1555]",True,[288 482  55 156],0.45572805404663086,animal
6,ZJ016494,test_features/ZJ016494.jpg,S0166,0.0096,"(192, 354, 10, 2)","[0.5468, 0.5222, 0.01562, 0.05]",True,,,
7,ZJ016495,test_features/ZJ016495.jpg,S0082,0.694,"(242, 5, 226, 398)","[0.001041, 0.4407, 0.4229, 0.4333]",True,[239   2 261 671],0.4446682631969452,animal
8,ZJ016496,test_features/ZJ016496.jpg,S0012,0.679,"(346, 39, 55, 194)","[0.03645, 0.6333, 0.2104, 0.1166]",True,,,
9,ZJ016497,test_features/ZJ016497.jpg,S0082,0.609,"(234, 674, 246, 282)","[0.6979, 0.4259, 0.302, 0.4703]",True,,,
10,ZJ016498,test_features/ZJ016498.jpg,S0040,0.453,"(204, 303, 191, 86)","[0.3114, 0.3883, 0.09791, 0.3864]",True,[199 299 190  93],0.408770352602005,leopard
11,ZJ016499,test_features/ZJ016499.jpg,S0086,0.471,"(79, 42, 63, 58)","[0.1187, 0.3125, 0.2062, 0.2958]",True,[155 157  34  46],0.3277805745601654,bird
12,ZJ016500,test_features/ZJ016500.jpg,S0126,0.948,"(412, 508, 88, 168)","[0.525, 0.7555, 0.1833, 0.1777]",True,[407 503  84 168],0.49107056856155396,animal
13,ZJ016501,test_features/ZJ016501.jpg,S0151,0.428,"(232, 132, 45, 71)","[0.1999, 0.6333, 0.1234, 0.1472]",True,,,
14,ZJ016502,test_features/ZJ016502.jpg,S0151,0.415,"(240, 446, 32, 60)","[0.6906, 0.6555, 0.1062, 0.1111]",True,,,
15,ZJ016503,test_features/ZJ016503.jpg,S0162,0.62,"(203, 498, 137, 150)","[0.5145, 0.3685, 0.1645, 0.2685]",True,,,
16,ZJ016504,test_features/ZJ016504.jpg,S0162,0.0174,"(320, 311, 59, 37)","[0.3197, 0.5851, 0.04687, 0.124]",True,,,
17,ZJ016505,test_features/ZJ016505.jpg,S0162,,,,False,[388 170 128 175],0.3582114279270172,animal
18,ZJ016506,test_features/ZJ016506.jpg,S0128,0.785,"(276, 288, 29, 24)","[0.4437, 0.7555, 0.05, 0.1027]",True,[271 283  37  32],0.4102962911128998,animal
19,ZJ016507,test_features/ZJ016507.jpg,S0040,0.785,"(244, 370, 61, 177)","[0.3812, 0.4444, 0.1927, 0.1277]",True,,,
20,ZJ016508,test_features/ZJ016508.jpg,S0128,0.0499,"(315, 4, 24, 50)","[0, 0.8638, 0.09062, 0.08888]",True,,,
21,ZJ016509,test_features/ZJ016509.jpg,S0116,0.887,"(259, 359, 80, 45)","[0.5546, 0.7083, 0.08281, 0.2444]",True,[254 354  69  44],0.3497556149959564,rodent
22,ZJ016510,test_features/ZJ016510.jpg,S0162,0.52,"(431, 4, 73, 121)","[0, 0.7907, 0.1343, 0.15]",True,,,
23,ZJ016511,test_features/ZJ016511.jpg,S0168,0.00861,"(146, 90, 24, 20)","[0.2388, 0.5916, 0.07777, 0.1333]",True,,,
24,ZJ016512,test_features/ZJ016512.jpg,S0072,0.561,"(194, 322, 94, 52)","[0.3312, 0.3689, 0.0625, 0.198]",True,,,
25,ZJ016513,test_features/ZJ016513.jpg,S0128,0.793,"(248, 487, 64, 120)","[0.7546, 0.6777, 0.2, 0.2]",True,[244 483  69 126],0.39023399353027344,bird
26,ZJ016514,test_features/ZJ016514.jpg,S0040,0.288,"(291, 5, 228, 950)","[0.001041, 0.5314, 0.9979, 0.437]",True,,,
27,ZJ016515,test_features/ZJ016515.jpg,S0100,0.0346,"(218, 4, 122, 279)","[0, 0.5944, 0.4484, 0.3611]",True,,,
28,ZJ016516,test_features/ZJ016516.jpg,S0037,0.883,"(177, 273, 93, 115)","[0.4203, 0.4805, 0.1921, 0.2805]",True,[170 268  97 123],0.3672816753387451,animal
29,ZJ016517,test_features/ZJ016517.jpg,S0114,,,,False,,,
30,ZJ016518,test_features/ZJ016518.jpg,S0072,0.974,"(345, 360, 175, 280)","[0.3708, 0.6314, 0.3, 0.3388]",True,[345 359 177 285],0.45381829142570496,antelope_duiker
31,ZJ016519,test_features/ZJ016519.jpg,S0067,0.0222,"(213, 182, 70, 51)","[0.2781, 0.5805, 0.09218, 0.2166]",True,,,
32,ZJ016520,test_features/ZJ016520.jpg,S0162,0.899,"(313, 699, 184, 257)","[0.7239, 0.5722, 0.276, 0.3555]",True,,,
33,ZJ016521,test_features/ZJ016521.jpg,S0142,0.0177,"(82, 497, 162, 93)","[0.7703, 0.2166, 0.1578, 0.4722]",True,,,
34,ZJ016522,test_features/ZJ016522.jpg,S0100,0.92,"(272, 111, 67, 341)","[0.1671, 0.7444, 0.5453, 0.2083]",True,[268 109  75 345],0.5202163457870483,animal
35,ZJ016523,test_features/ZJ016523.jpg,S0162,0.406,"(446, 423, 74, 162)","[0.4364, 0.8185, 0.177, 0.1518]",True,,,
36,ZJ016524,test_features/ZJ016524.jpg,S0199,0.0537,"(215, 4, 21, 2)","[0, 0.8791, 0.02777, 0.1208]",True,,,
37,ZJ016525,test_features/ZJ016525.jpg,S0067,0.599,"(159, 4, 196, 187)","[0, 0.4305, 0.3046, 0.5666]",True,[ 76   0 283 185],0.3090646266937256,animal
38,ZJ016526,test_features/ZJ016526.jpg,S0040,0.914,"(331, 39, 58, 77)","[0.03645, 0.6055, 0.08854, 0.1222]",True,[320  40  74  80],0.5965611934661865,bird
39,ZJ016527,test_features/ZJ016527.jpg,S0037,0.945,"(161, 4, 140, 211)","[0, 0.4686, 0.3421, 0.4417]",True,[161   0 138 218],0.5038737058639526,animal
40,ZJ016528,test_features/ZJ016528.jpg,S0116,0.448,"(213, 352, 66, 101)","[0.5437, 0.5805, 0.1703, 0.2055]",True,,,
41,ZJ016529,test_features/ZJ016529.jpg,S0082,0.403,"(272, 153, 220, 582)","[0.1552, 0.4962, 0.6145, 0.4222]",True,[246 139 231 599],0.3510438799858093,animal
42,ZJ016530,test_features/ZJ016530.jpg,S0011,0.0201,"(206, 337, 103, 101)","[0.5203, 0.5611, 0.1703, 0.3083]",True,,,
43,ZJ016531,test_features/ZJ016531.jpg,S0064,0.0052,"(499, 191, 21, 90)","[0.1947, 0.9166, 0.102, 0.0537]",True,,,
44,ZJ016532,test_features/ZJ016532.jpg,S0040,0.966,"(4, 4, 421, 727)","[0, 0, 0.7656, 0.7944]",True,[  0   0 430 732],0.774238109588623,leopard
45,ZJ016533,test_features/ZJ016533.jpg,S0128,0.423,"(193, 318, 89, 65)","[0.4906, 0.5249, 0.114, 0.2694]",True,,,
46,ZJ016534,test_features/ZJ016534.jpg,S0034,,,,False,,,
47,ZJ016535,test_features/ZJ016535.jpg,S0091,0.821,"(324, 573, 178, 216)","[0.5927, 0.5925, 0.2333, 0.3444]",True,[320 652 181 128],0.6544575691223145,monkey_prosimian
48,ZJ016536,test_features/ZJ016536.jpg,S0100,,,,False,,,
49,ZJ016537,test_features/ZJ016537.jpg,S0189,0.387,"(195, 64, 40, 60)","[0.1666, 0.7958, 0.1888, 0.2]",True,,,
50,ZJ016538,test_features/ZJ016538.jpg,S0037,0.779,"(210, 478, 95, 98)","[0.7406, 0.5722, 0.1656, 0.2861]",True,[206 472  94 106],0.48875007033348083,animal
51,ZJ016539,test_features/ZJ016539.jpg,S0087,0.0183,"(88, 4, 25, 15)","[0, 0.6999, 0.1437, 0.275]",True,,,
52,ZJ016540,test_features/ZJ016540.jpg,S0116,0.901,"(301, 322, 39, 62)","[0.4968, 0.825, 0.1093, 0.1305]",True,[296 316  47  73],0.5964074730873108,bird
53,ZJ016541,test_features/ZJ016541.jpg,S0166,0.176,"(239, 346, 117, 290)","[0.5343, 0.6527, 0.4656, 0.3472]",True,,,
54,ZJ016542,test_features/ZJ016542.jpg,S0162,0.0363,"(164, 923, 115, 33)","[0.9572, 0.3106, 0.0427, 0.2388]",True,,,
