id,filepath,site,conf,bbox,bbox_normalized,bbox_true
ZJ016488,test_features/ZJ016488.jpg,S0082,0.63,"(323, 704, 195, 252)","[0.7291, 0.5907, 0.2708, 0.3759]",True
ZJ016489,test_features/ZJ016489.jpg,S0040,0.733,"(283, 84, 81, 156)","[0.08333, 0.5166, 0.1708, 0.1648]",True
ZJ016490,test_features/ZJ016490.jpg,S0040,0.363,"(291, 4, 227, 730)","[0, 0.5314, 0.7687, 0.4351]",True
ZJ016491,test_features/ZJ016491.jpg,S0041,0.876,"(41, 4, 289, 632)","[0, 0.1104, 1.0, 0.8865]",True
ZJ016492,test_features/ZJ016492.jpg,S0040,0.78,"(196, 360, 102, 136)","[0.3708, 0.3555, 0.15, 0.2037]",True
ZJ016493,test_features/ZJ016493.jpg,S0128,0.918,"(292, 485, 48, 151)","[0.7515, 0.7999, 0.2484, 0.1555]",True
ZJ016494,test_features/ZJ016494.jpg,S0166,0.0096,"(192, 354, 10, 2)","[0.5468, 0.5222, 0.01562, 0.05]",True
ZJ016495,test_features/ZJ016495.jpg,S0082,0.694,"(242, 5, 226, 398)","[0.001041, 0.4407, 0.4229, 0.4333]",True
ZJ016496,test_features/ZJ016496.jpg,S0012,0.679,"(346, 39, 55, 194)","[0.03645, 0.6333, 0.2104, 0.1166]",True
ZJ016497,test_features/ZJ016497.jpg,S0082,0.609,"(234, 674, 246, 282)","[0.6979, 0.4259, 0.302, 0.4703]",True
ZJ016498,test_features/ZJ016498.jpg,S0040,0.453,"(204, 303, 191, 86)","[0.3114, 0.3883, 0.09791, 0.3864]",True
ZJ016499,test_features/ZJ016499.jpg,S0086,0.471,"(79, 42, 63, 58)","[0.1187, 0.3125, 0.2062, 0.2958]",True
ZJ016500,test_features/ZJ016500.jpg,S0126,0.948,"(412, 508, 88, 168)","[0.525, 0.7555, 0.1833, 0.1777]",True
ZJ016501,test_features/ZJ016501.jpg,S0151,0.428,"(232, 132, 45, 71)","[0.1999, 0.6333, 0.1234, 0.1472]",True
ZJ016502,test_features/ZJ016502.jpg,S0151,0.415,"(240, 446, 32, 60)","[0.6906, 0.6555, 0.1062, 0.1111]",True
ZJ016503,test_features/ZJ016503.jpg,S0162,0.62,"(203, 498, 137, 150)","[0.5145, 0.3685, 0.1645, 0.2685]",True
ZJ016504,test_features/ZJ016504.jpg,S0162,0.0174,"(320, 311, 59, 37)","[0.3197, 0.5851, 0.04687, 0.124]",True
ZJ016505,test_features/ZJ016505.jpg,S0162,,,,False
ZJ016506,test_features/ZJ016506.jpg,S0128,0.785,"(276, 288, 29, 24)","[0.4437, 0.7555, 0.05, 0.1027]",True
ZJ016507,test_features/ZJ016507.jpg,S0040,0.785,"(244, 370, 61, 177)","[0.3812, 0.4444, 0.1927, 0.1277]",True
ZJ016508,test_features/ZJ016508.jpg,S0128,0.0499,"(315, 4, 24, 50)","[0, 0.8638, 0.09062, 0.08888]",True
ZJ016509,test_features/ZJ016509.jpg,S0116,0.887,"(259, 359, 80, 45)","[0.5546, 0.7083, 0.08281, 0.2444]",True
ZJ016510,test_features/ZJ016510.jpg,S0162,0.52,"(431, 4, 73, 121)","[0, 0.7907, 0.1343, 0.15]",True
ZJ016511,test_features/ZJ016511.jpg,S0168,0.00861,"(146, 90, 24, 20)","[0.2388, 0.5916, 0.07777, 0.1333]",True
ZJ016512,test_features/ZJ016512.jpg,S0072,0.561,"(194, 322, 94, 52)","[0.3312, 0.3689, 0.0625, 0.198]",True
ZJ016513,test_features/ZJ016513.jpg,S0128,0.793,"(248, 487, 64, 120)","[0.7546, 0.6777, 0.2, 0.2]",True
ZJ016514,test_features/ZJ016514.jpg,S0040,0.288,"(291, 5, 228, 950)","[0.001041, 0.5314, 0.9979, 0.437]",True
ZJ016515,test_features/ZJ016515.jpg,S0100,0.0346,"(218, 4, 122, 279)","[0, 0.5944, 0.4484, 0.3611]",True
ZJ016516,test_features/ZJ016516.jpg,S0037,0.883,"(177, 273, 93, 115)","[0.4203, 0.4805, 0.1921, 0.2805]",True
ZJ016517,test_features/ZJ016517.jpg,S0114,,,,False
ZJ016518,test_features/ZJ016518.jpg,S0072,0.974,"(345, 360, 175, 280)","[0.3708, 0.6314, 0.3, 0.3388]",True
ZJ016519,test_features/ZJ016519.jpg,S0067,0.0222,"(213, 182, 70, 51)","[0.2781, 0.5805, 0.09218, 0.2166]",True
ZJ016520,test_features/ZJ016520.jpg,S0162,0.899,"(313, 699, 184, 257)","[0.7239, 0.5722, 0.276, 0.3555]",True
ZJ016521,test_features/ZJ016521.jpg,S0142,0.0177,"(82, 497, 162, 93)","[0.7703, 0.2166, 0.1578, 0.4722]",True
ZJ016522,test_features/ZJ016522.jpg,S0100,0.92,"(272, 111, 67, 341)","[0.1671, 0.7444, 0.5453, 0.2083]",True
ZJ016523,test_features/ZJ016523.jpg,S0162,0.406,"(446, 423, 74, 162)","[0.4364, 0.8185, 0.177, 0.1518]",True
ZJ016524,test_features/ZJ016524.jpg,S0199,0.0537,"(215, 4, 21, 2)","[0, 0.8791, 0.02777, 0.1208]",True
ZJ016525,test_features/ZJ016525.jpg,S0067,0.599,"(159, 4, 196, 187)","[0, 0.4305, 0.3046, 0.5666]",True
ZJ016526,test_features/ZJ016526.jpg,S0040,0.914,"(331, 39, 58, 77)","[0.03645, 0.6055, 0.08854, 0.1222]",True
ZJ016527,test_features/ZJ016527.jpg,S0037,0.945,"(161, 4, 140, 211)","[0, 0.4686, 0.3421, 0.4417]",True
