,id,filepath,site,split,conf,bbox,bbox_normalized,bbox_true,bbox_dino,Logits,pred_dino
0,ZJ000000,train_features/ZJ000000.jpg,S0120,2.0,0.69,"(322, 109, 92, 69)","[0.1093, 0.5888, 0.0802, 0.1851]",True,,,
1,ZJ000001,train_features/ZJ000001.jpg,S0069,3.0,0.813,"(4, 542, 515, 120)","[0.5604, 0, 0.1333, 0.9685]",True,,,
2,ZJ000002,train_features/ZJ000002.jpg,S0009,0.0,0.612,"(284, 330, 56, 74)","[0.5093, 0.7777, 0.1281, 0.1777]",True,[295 501  48  94],0.32504716515541077,bird
3,ZJ000003,train_features/ZJ000003.jpg,S0008,4.0,0.686,"(230, 4, 107, 129)","[0, 0.6277, 0.214, 0.3194]",True,[227   0 106 136],0.34316766262054443,monkey_prosimian
4,ZJ000004,train_features/ZJ000004.jpg,S0036,0.0,0.476,"(194, 326, 91, 66)","[0.5031, 0.5671, 0.1156, 0.2955]",True,[190 321  95  74],0.5165168642997742,leopard
5,ZJ000005,train_features/ZJ000005.jpg,S0019,0.0,0.975,"(199, 6, 320, 787)","[0.002083, 0.3611, 0.8281, 0.6074]",True,[194   0 328 795],0.45773524045944214,animal
6,ZJ000006,train_features/ZJ000006.jpg,S0060,2.0,0.79,"(338, 167, 128, 457)","[0.1697, 0.6185, 0.4843, 0.2518]",True,,,
7,ZJ000007,train_features/ZJ000007.jpg,S0047,2.0,0.334,"(298, 324, 57, 134)","[0.4999, 0.8166, 0.2218, 0.1805]",True,,,
8,ZJ000008,train_features/ZJ000008.jpg,S0083,2.0,0.964,"(150, 4, 369, 952)","[0, 0.2703, 1.0, 0.6981]",True,[147   2 376 957],0.743480920791626,leopard
9,ZJ000009,train_features/ZJ000009.jpg,S0059,4.0,0.823,"(318, 745, 92, 31)","[0.7718, 0.6097, 0.04062, 0.1941]",True,[308 738 105  43],0.4947773218154907,bird
10,ZJ000010,train_features/ZJ000010.jpg,S0076,3.0,0.695,"(4, 244, 327, 392)","[0.375, 0, 0.625, 1.0]",True,[  0 238 334 400],0.37963947653770447,animal
11,ZJ000011,train_features/ZJ000011.jpg,S0014,4.0,0.0979,"(46, 116, 307, 519)","[0.1749, 0.1166, 0.8234, 0.875]",True,,,
12,ZJ000012,train_features/ZJ000012.jpg,S0080,1.0,0.559,"(32, 90, 76, 18)","[0.5374, 0.2333, 0.1624, 0.6999]",True,[28 82 80 48],0.635094165802002,monkey_prosimian
13,ZJ000013,train_features/ZJ000013.jpg,S0061,1.0,0.0059,"(342, 816, 66, 77)","[0.8458, 0.6259, 0.08854, 0.137]",True,,,
14,ZJ000014,train_features/ZJ000014.jpg,S0075,4.0,0.849,"(259, 420, 80, 216)","[0.6499, 0.7083, 0.3499, 0.2444]",True,[255 418  87 220],0.3583294749259949,monkey_prosimian
15,ZJ000015,train_features/ZJ000015.jpg,S0003,2.0,,,,False,[183 515  79  95],0.3794555962085724,bird
16,ZJ000016,train_features/ZJ000016.jpg,S0105,3.0,0.0843,"(4, 5, 207, 351)","[0.002777, 0, 0.9972, 1.0]",True,,,
17,ZJ000017,train_features/ZJ000017.jpg,S0080,1.0,0.077,"(49, 149, 19, 7)","[0.9062, 0.375, 0.09375, 0.2249]",True,,,
18,ZJ000018,train_features/ZJ000018.jpg,S0188,3.0,,,,False,,,
19,ZJ000019,train_features/ZJ000019.jpg,S0097,3.0,0.738,"(157, 365, 115, 108)","[0.564, 0.425, 0.1812, 0.3416]",True,[164 378  70  97],0.3405590355396271,animal
20,ZJ000020,train_features/ZJ000020.jpg,S0105,3.0,0.167,"(4, 4, 207, 352)","[0, 0, 1.0, 1.0]",True,,,
21,ZJ000021,train_features/ZJ000021.jpg,S0068,1.0,0.52,"(347, 550, 172, 51)","[0.5687, 0.6351, 0.06145, 0.3333]",True,,,
22,ZJ000022,train_features/ZJ000022.jpg,S0077,1.0,0.951,"(209, 334, 130, 150)","[0.5156, 0.5694, 0.2468, 0.3833]",True,[206 329 137 158],0.4434686601161957,antelope_duiker
23,ZJ000023,train_features/ZJ000023.jpg,S0038,1.0,0.558,"(321, 4, 189, 951)","[0, 0.6155, 0.9989, 0.3825]",True,,,
24,ZJ000024,train_features/ZJ000024.jpg,S0014,4.0,0.693,"(188, 67, 94, 176)","[0.09843, 0.5111, 0.2874, 0.2833]",True,[182  63 104 184],0.44383877515792847,animal
25,ZJ000025,train_features/ZJ000025.jpg,S0120,2.0,0.137,"(244, 399, 34, 59)","[0.4114, 0.4444, 0.06979, 0.07777]",True,,,
26,ZJ000026,train_features/ZJ000026.jpg,S0049,3.0,0.957,"(152, 428, 165, 208)","[0.6625, 0.4111, 0.3375, 0.4805]",True,[148 425 168 213],0.38908153772354126,monkey_prosimian
27,ZJ000027,train_features/ZJ000027.jpg,S0120,2.0,0.307,"(91, 392, 284, 98)","[0.4041, 0.1611, 0.1104, 0.5407]",True,,,
28,ZJ000028,train_features/ZJ000028.jpg,S0170,1.0,0.615,"(162, 165, 35, 60)","[0.4472, 0.6583, 0.1888, 0.1791]",True,[156 163  45  66],0.40620434284210205,animal
29,ZJ000029,train_features/ZJ000029.jpg,S0061,1.0,,,,False,,,
30,ZJ000030,train_features/ZJ000030.jpg,S0049,3.0,0.713,"(162, 339, 71, 72)","[0.5234, 0.4388, 0.125, 0.2194]",True,[157 369  74  44],0.37300965189933777,animal
31,ZJ000031,train_features/ZJ000031.jpg,S0063,1.0,0.943,"(220, 488, 192, 202)","[0.5041, 0.3999, 0.2187, 0.3703]",True,[220 482 196 213],0.4648267924785614,monkey_prosimian
32,ZJ000032,train_features/ZJ000032.jpg,S0014,4.0,0.878,"(173, 549, 100, 87)","[0.8515, 0.4694, 0.1484, 0.3]",True,[167 550 106  88],0.4363557696342468,animal
33,ZJ000033,train_features/ZJ000033.jpg,S0071,1.0,0.921,"(330, 124, 120, 258)","[0.125, 0.6037, 0.277, 0.237]",True,[325 168 125 226],0.391863077878952,animal
34,ZJ000034,train_features/ZJ000034.jpg,S0063,1.0,0.877,"(290, 617, 200, 151)","[0.6385, 0.5296, 0.1656, 0.3851]",True,[280 609 216 166],0.4796208441257477,animal
35,ZJ000035,train_features/ZJ000035.jpg,S0062,2.0,0.687,"(378, 323, 68, 121)","[0.3322, 0.6925, 0.1343, 0.1407]",True,[376 315  71 133],0.3926644027233124,animal
36,ZJ000036,train_features/ZJ000036.jpg,S0060,2.0,0.886,"(414, 4, 105, 234)","[0, 0.7592, 0.252, 0.2092]",True,,,
37,ZJ000037,train_features/ZJ000037.jpg,S0073,3.0,0.866,"(240, 321, 115, 140)","[0.4953, 0.6555, 0.2312, 0.3416]",True,[237 324 112 140],0.4765559732913971,animal
38,ZJ000038,train_features/ZJ000038.jpg,S0070,1.0,0.546,"(354, 210, 165, 165)","[0.2145, 0.6481, 0.1802, 0.3203]",True,[338 204 184 174],0.3494638502597809,animal
39,ZJ000039,train_features/ZJ000039.jpg,S0053,3.0,0.878,"(256, 277, 105, 49)","[0.2843, 0.4666, 0.05937, 0.2092]",True,[250 271 104  58],0.38765498995780945,animal
40,ZJ000040,train_features/ZJ000040.jpg,S0060,2.0,0.452,"(338, 150, 127, 104)","[0.152, 0.6185, 0.1166, 0.25]",True,[297 144 165 286],0.3459934890270233,animal
41,ZJ000041,train_features/ZJ000041.jpg,S0188,3.0,,,,False,,,
42,ZJ000042,train_features/ZJ000042.jpg,S0171,4.0,0.242,"(175, 216, 36, 64)","[0.5888, 0.7125, 0.2, 0.1833]",True,,,
43,ZJ000043,train_features/ZJ000043.jpg,S0134,1.0,0.629,"(336, 378, 90, 173)","[0.3895, 0.6148, 0.1885, 0.1814]",True,,,
44,ZJ000044,train_features/ZJ000044.jpg,S0059,4.0,0.881,"(316, 732, 80, 207)","[0.7583, 0.5777, 0.2239, 0.1629]",True,,,
45,ZJ000045,train_features/ZJ000045.jpg,S0077,1.0,0.0276,"(268, 4, 48, 74)","[0, 0.7333, 0.1281, 0.1555]",True,,,
46,ZJ000046,train_features/ZJ000046.jpg,S0022,0.0,0.527,"(244, 4, 112, 144)","[0, 0.6666, 0.2374, 0.3333]",True,,,
47,ZJ000047,train_features/ZJ000047.jpg,S0089,3.0,0.209,"(287, 150, 52, 77)","[0.2281, 0.7861, 0.1328, 0.1666]",True,,,
48,ZJ000048,train_features/ZJ000048.jpg,S0025,4.0,0.935,"(65, 113, 290, 229)","[0.1703, 0.1694, 0.3703, 0.8277]",True,[ 60 109 298 236],0.6524316668510437,monkey_prosimian
49,ZJ000049,train_features/ZJ000049.jpg,S0063,1.0,0.953,"(245, 523, 191, 121)","[0.5406, 0.4462, 0.1343, 0.3685]",True,[237 518 200 175],0.37339678406715393,animal
50,ZJ000050,train_features/ZJ000050.jpg,S0120,2.0,0.748,"(271, 57, 89, 132)","[0.0552, 0.4944, 0.1458, 0.1796]",True,,,
51,ZJ000051,train_features/ZJ000051.jpg,S0042,3.0,,,,False,,,
52,ZJ000052,train_features/ZJ000052.jpg,S0170,1.0,0.786,"(129, 138, 85, 123)","[0.3722, 0.5208, 0.3638, 0.3874]",True,[124 134  92 134],0.5271352529525757,animal
53,ZJ000053,train_features/ZJ000053.jpg,S0071,1.0,,,,False,,,
54,ZJ000054,train_features/ZJ000054.jpg,S0063,1.0,0.358,"(425, 619, 47, 111)","[0.6406, 0.7796, 0.1239, 0.1018]",True,,,
55,ZJ000055,train_features/ZJ000055.jpg,S0021,2.0,0.116,"(163, 332, 59, 57)","[0.5124, 0.4416, 0.1015, 0.1861]",True,,,
56,ZJ000056,train_features/ZJ000056.jpg,S0060,2.0,0.901,"(297, 396, 119, 220)","[0.4083, 0.5425, 0.2374, 0.2351]",True,,,
57,ZJ000057,train_features/ZJ000057.jpg,S0184,0.0,0.735,"(235, 215, 62, 69)","[0.2197, 0.4277, 0.0802, 0.1296]",True,,,
58,ZJ000058,train_features/ZJ000058.jpg,S0027,3.0,0.296,"(164, 469, 159, 167)","[0.7265, 0.4444, 0.2734, 0.4638]",True,,,
59,ZJ000059,train_features/ZJ000059.jpg,S0026,0.0,0.693,"(124, 4, 87, 22)","[0, 0.3333, 0.04687, 0.2638]",True,[119   0  91  32],0.3756280839443207,animal
60,ZJ000060,train_features/ZJ000060.jpg,S0004,2.0,0.307,"(290, 556, 33, 56)","[0.8625, 0.7944, 0.1, 0.1138]",True,[107 236  34  30],0.40890827775001526,bird
61,ZJ000061,train_features/ZJ000061.jpg,S0022,0.0,0.0275,"(268, 455, 29, 67)","[0.7046, 0.7333, 0.1171, 0.1027]",True,,,
62,ZJ000062,train_features/ZJ000062.jpg,S0120,2.0,,,,False,,,
63,ZJ000063,train_features/ZJ000063.jpg,S0024,2.0,0.363,"(5, 330, 325, 306)","[0.5093, 0.002985, 0.4906, 0.994]",True,[  0 332 333 307],0.4811404049396515,animal
64,ZJ000064,train_features/ZJ000064.jpg,S0035,3.0,0.113,"(4, 606, 348, 30)","[0.9406, 0, 0.05937, 0.9888]",True,,,
65,ZJ000065,train_features/ZJ000065.jpg,S0063,1.0,0.968,"(186, 738, 333, 188)","[0.7645, 0.337, 0.2041, 0.6314]",True,[184 734 339 195],0.527717649936676,animal
66,ZJ000066,train_features/ZJ000066.jpg,S0019,0.0,0.845,"(405, 99, 115, 601)","[0.09895, 0.7425, 0.6343, 0.2277]",True,[399  93 124 604],0.3764541745185852,hog
67,ZJ000067,train_features/ZJ000067.jpg,S0018,3.0,0.905,"(348, 689, 147, 90)","[0.7135, 0.637, 0.102, 0.287]",True,[343 685 145  69],0.44362813234329224,antelope_duiker
68,ZJ000068,train_features/ZJ000068.jpg,S0069,3.0,0.726,"(459, 351, 61, 65)","[0.3614, 0.8425, 0.07604, 0.1277]",True,,,
69,ZJ000069,train_features/ZJ000069.jpg,S0060,2.0,0.709,"(277, 50, 186, 384)","[0.04791, 0.5055, 0.4083, 0.3592]",True,,,
70,ZJ000070,train_features/ZJ000070.jpg,S0008,4.0,0.0314,"(254, 4, 85, 128)","[0, 0.6944, 0.2125, 0.2583]",True,,,
