id,filepath,site,split,conf,bbox,bbox_normalized,bbox_true
ZJ000000,train_features/ZJ000000.jpg,S0120,2.0,0.69,"(322, 109, 92, 69)","[0.1093, 0.5888, 0.0802, 0.1851]",True
ZJ000001,train_features/ZJ000001.jpg,S0069,3.0,0.813,"(4, 542, 515, 120)","[0.5604, 0, 0.1333, 0.9685]",True
ZJ000002,train_features/ZJ000002.jpg,S0009,0.0,0.612,"(284, 330, 56, 74)","[0.5093, 0.7777, 0.1281, 0.1777]",True
ZJ000003,train_features/ZJ000003.jpg,S0008,4.0,0.686,"(230, 4, 107, 129)","[0, 0.6277, 0.214, 0.3194]",True
ZJ000004,train_features/ZJ000004.jpg,S0036,0.0,0.476,"(194, 326, 91, 66)","[0.5031, 0.5671, 0.1156, 0.2955]",True
ZJ000005,train_features/ZJ000005.jpg,S0019,0.0,0.975,"(199, 6, 320, 787)","[0.002083, 0.3611, 0.8281, 0.6074]",True
ZJ000006,train_features/ZJ000006.jpg,S0060,2.0,0.79,"(338, 167, 128, 457)","[0.1697, 0.6185, 0.4843, 0.2518]",True
ZJ000007,train_features/ZJ000007.jpg,S0047,2.0,0.334,"(298, 324, 57, 134)","[0.4999, 0.8166, 0.2218, 0.1805]",True
ZJ000008,train_features/ZJ000008.jpg,S0083,2.0,0.964,"(150, 4, 369, 952)","[0, 0.2703, 1.0, 0.6981]",True
ZJ000009,train_features/ZJ000009.jpg,S0059,4.0,0.823,"(318, 745, 92, 31)","[0.7718, 0.6097, 0.04062, 0.1941]",True
ZJ000010,train_features/ZJ000010.jpg,S0076,3.0,0.695,"(4, 244, 327, 392)","[0.375, 0, 0.625, 1.0]",True
ZJ000011,train_features/ZJ000011.jpg,S0014,4.0,0.0979,"(46, 116, 307, 519)","[0.1749, 0.1166, 0.8234, 0.875]",True
ZJ000012,train_features/ZJ000012.jpg,S0080,1.0,0.559,"(32, 90, 76, 18)","[0.5374, 0.2333, 0.1624, 0.6999]",True
ZJ000013,train_features/ZJ000013.jpg,S0061,1.0,0.0059,"(342, 816, 66, 77)","[0.8458, 0.6259, 0.08854, 0.137]",True
ZJ000014,train_features/ZJ000014.jpg,S0075,4.0,0.849,"(259, 420, 80, 216)","[0.6499, 0.7083, 0.3499, 0.2444]",True
ZJ000015,train_features/ZJ000015.jpg,S0003,2.0,,,,False
ZJ000016,train_features/ZJ000016.jpg,S0105,3.0,0.0843,"(4, 5, 207, 351)","[0.002777, 0, 0.9972, 1.0]",True
ZJ000017,train_features/ZJ000017.jpg,S0080,1.0,0.077,"(49, 149, 19, 7)","[0.9062, 0.375, 0.09375, 0.2249]",True
ZJ000018,train_features/ZJ000018.jpg,S0188,3.0,,,,False
ZJ000019,train_features/ZJ000019.jpg,S0097,3.0,0.738,"(157, 365, 115, 108)","[0.564, 0.425, 0.1812, 0.3416]",True
ZJ000020,train_features/ZJ000020.jpg,S0105,3.0,0.167,"(4, 4, 207, 352)","[0, 0, 1.0, 1.0]",True
ZJ000021,train_features/ZJ000021.jpg,S0068,1.0,0.52,"(347, 550, 172, 51)","[0.5687, 0.6351, 0.06145, 0.3333]",True
ZJ000022,train_features/ZJ000022.jpg,S0077,1.0,0.951,"(209, 334, 130, 150)","[0.5156, 0.5694, 0.2468, 0.3833]",True
ZJ000023,train_features/ZJ000023.jpg,S0038,1.0,0.558,"(321, 4, 189, 951)","[0, 0.6155, 0.9989, 0.3825]",True
ZJ000024,train_features/ZJ000024.jpg,S0014,4.0,0.693,"(188, 67, 94, 176)","[0.09843, 0.5111, 0.2874, 0.2833]",True
ZJ000025,train_features/ZJ000025.jpg,S0120,2.0,0.137,"(244, 399, 34, 59)","[0.4114, 0.4444, 0.06979, 0.07777]",True
ZJ000026,train_features/ZJ000026.jpg,S0049,3.0,0.957,"(152, 428, 165, 208)","[0.6625, 0.4111, 0.3375, 0.4805]",True
ZJ000027,train_features/ZJ000027.jpg,S0120,2.0,0.307,"(91, 392, 284, 98)","[0.4041, 0.1611, 0.1104, 0.5407]",True
ZJ000028,train_features/ZJ000028.jpg,S0170,1.0,0.615,"(162, 165, 35, 60)","[0.4472, 0.6583, 0.1888, 0.1791]",True
ZJ000029,train_features/ZJ000029.jpg,S0061,1.0,,,,False
ZJ000030,train_features/ZJ000030.jpg,S0049,3.0,0.713,"(162, 339, 71, 72)","[0.5234, 0.4388, 0.125, 0.2194]",True
ZJ000031,train_features/ZJ000031.jpg,S0063,1.0,0.943,"(220, 488, 192, 202)","[0.5041, 0.3999, 0.2187, 0.3703]",True
ZJ000032,train_features/ZJ000032.jpg,S0014,4.0,0.878,"(173, 549, 100, 87)","[0.8515, 0.4694, 0.1484, 0.3]",True
ZJ000033,train_features/ZJ000033.jpg,S0071,1.0,0.921,"(330, 124, 120, 258)","[0.125, 0.6037, 0.277, 0.237]",True
ZJ000034,train_features/ZJ000034.jpg,S0063,1.0,0.877,"(290, 617, 200, 151)","[0.6385, 0.5296, 0.1656, 0.3851]",True
ZJ000035,train_features/ZJ000035.jpg,S0062,2.0,0.687,"(378, 323, 68, 121)","[0.3322, 0.6925, 0.1343, 0.1407]",True
ZJ000036,train_features/ZJ000036.jpg,S0060,2.0,0.886,"(414, 4, 105, 234)","[0, 0.7592, 0.252, 0.2092]",True
ZJ000037,train_features/ZJ000037.jpg,S0073,3.0,0.866,"(240, 321, 115, 140)","[0.4953, 0.6555, 0.2312, 0.3416]",True
ZJ000038,train_features/ZJ000038.jpg,S0070,1.0,0.546,"(354, 210, 165, 165)","[0.2145, 0.6481, 0.1802, 0.3203]",True
ZJ000039,train_features/ZJ000039.jpg,S0053,3.0,0.878,"(256, 277, 105, 49)","[0.2843, 0.4666, 0.05937, 0.2092]",True
ZJ000040,train_features/ZJ000040.jpg,S0060,2.0,0.452,"(338, 150, 127, 104)","[0.152, 0.6185, 0.1166, 0.25]",True
ZJ000041,train_features/ZJ000041.jpg,S0188,3.0,,,,False
ZJ000042,train_features/ZJ000042.jpg,S0171,4.0,0.242,"(175, 216, 36, 64)","[0.5888, 0.7125, 0.2, 0.1833]",True
ZJ000043,train_features/ZJ000043.jpg,S0134,1.0,0.629,"(336, 378, 90, 173)","[0.3895, 0.6148, 0.1885, 0.1814]",True
ZJ000044,train_features/ZJ000044.jpg,S0059,4.0,0.881,"(316, 732, 80, 207)","[0.7583, 0.5777, 0.2239, 0.1629]",True
ZJ000045,train_features/ZJ000045.jpg,S0077,1.0,0.0276,"(268, 4, 48, 74)","[0, 0.7333, 0.1281, 0.1555]",True
