id,filepath,site,label,file,max_detection_conf,category,conf,bbox,bbox_true
ZJ000000,train_features/ZJ000000.jpg,S0120,bird,ZJ000000.jpg,0.69,animal,0.69,"[0.1093, 0.5888, 0.0802, 0.1851]",True
ZJ000001,train_features/ZJ000001.jpg,S0069,monkey_prosimian,ZJ000001.jpg,0.813,animal,0.813,"[0.5604, 0, 0.1333, 0.9685]",True
ZJ000002,train_features/ZJ000002.jpg,S0009,bird,ZJ000002.jpg,0.612,animal,0.612,"[0.5093, 0.7777, 0.1281, 0.1777]",True
ZJ000003,train_features/ZJ000003.jpg,S0008,monkey_prosimian,ZJ000003.jpg,0.686,animal,0.686,"[0, 0.6277, 0.214, 0.3194]",True
ZJ000004,train_features/ZJ000004.jpg,S0036,leopard,,,,,,False
ZJ000005,train_features/ZJ000005.jpg,S0019,hog,ZJ000005.jpg,0.975,animal,0.975,"[0.002083, 0.3611, 0.8281, 0.6074]",True
ZJ000006,train_features/ZJ000006.jpg,S0060,civet_genet,ZJ000006.jpg,0.79,animal,0.79,"[0.1697, 0.6185, 0.4843, 0.2518]",True
ZJ000007,train_features/ZJ000007.jpg,S0047,antelope_duiker,,,,,,False
ZJ000008,train_features/ZJ000008.jpg,S0083,leopard,ZJ000008.jpg,0.964,animal,0.964,"[0, 0.2703, 1.0, 0.6981]",True
ZJ000009,train_features/ZJ000009.jpg,S0059,bird,ZJ000009.jpg,0.823,animal,0.823,"[0.7718, 0.6097, 0.04062, 0.1941]",True
ZJ000010,train_features/ZJ000010.jpg,S0076,leopard,ZJ000010.jpg,0.695,animal,0.695,"[0.375, 0, 0.625, 1.0]",True
ZJ000011,train_features/ZJ000011.jpg,S0014,leopard,,,,,,False
ZJ000012,train_features/ZJ000012.jpg,S0080,monkey_prosimian,,,,,,False
ZJ000013,train_features/ZJ000013.jpg,S0061,blank,,,,,,False
ZJ000014,train_features/ZJ000014.jpg,S0075,monkey_prosimian,ZJ000014.jpg,0.849,animal,0.849,"[0.6499, 0.7083, 0.3499, 0.2444]",True
ZJ000015,train_features/ZJ000015.jpg,S0003,blank,,,,,,False
ZJ000016,train_features/ZJ000016.jpg,S0105,leopard,,,,,,False
ZJ000017,train_features/ZJ000017.jpg,S0080,bird,,,,,,False
ZJ000018,train_features/ZJ000018.jpg,S0188,blank,,,,,,False
ZJ000019,train_features/ZJ000019.jpg,S0097,monkey_prosimian,ZJ000019.jpg,0.738,animal,0.738,"[0.564, 0.425, 0.1812, 0.3416]",True
ZJ000020,train_features/ZJ000020.jpg,S0105,leopard,,,,,,False
ZJ000021,train_features/ZJ000021.jpg,S0068,monkey_prosimian,,,,,,False
ZJ000022,train_features/ZJ000022.jpg,S0077,antelope_duiker,ZJ000022.jpg,0.951,animal,0.951,"[0.5156, 0.5694, 0.2468, 0.3833]",True
ZJ000023,train_features/ZJ000023.jpg,S0038,leopard,,,,,,False
ZJ000024,train_features/ZJ000024.jpg,S0014,monkey_prosimian,ZJ000024.jpg,0.693,animal,0.693,"[0.09843, 0.5111, 0.2874, 0.2833]",True
ZJ000025,train_features/ZJ000025.jpg,S0120,rodent,,,,,,False
ZJ000026,train_features/ZJ000026.jpg,S0049,monkey_prosimian,ZJ000026.jpg,0.957,animal,0.957,"[0.6625, 0.4111, 0.3375, 0.4805]",True
ZJ000027,train_features/ZJ000027.jpg,S0120,monkey_prosimian,,,,,,False
ZJ000028,train_features/ZJ000028.jpg,S0170,monkey_prosimian,ZJ000028.jpg,0.615,animal,0.615,"[0.4472, 0.6583, 0.1888, 0.1791]",True
ZJ000029,train_features/ZJ000029.jpg,S0061,blank,,,,,,False
ZJ000030,train_features/ZJ000030.jpg,S0049,antelope_duiker,ZJ000030.jpg,0.713,animal,0.713,"[0.5234, 0.4388, 0.125, 0.2194]",True
ZJ000031,train_features/ZJ000031.jpg,S0063,monkey_prosimian,ZJ000031.jpg,0.943,animal,0.943,"[0.5041, 0.3999, 0.2187, 0.3703]",True
ZJ000032,train_features/ZJ000032.jpg,S0014,hog,ZJ000032.jpg,0.878,animal,0.878,"[0.8515, 0.4694, 0.1484, 0.3]",True
ZJ000033,train_features/ZJ000033.jpg,S0071,civet_genet,ZJ000033.jpg,0.921,animal,0.921,"[0.125, 0.6037, 0.277, 0.237]",True
ZJ000034,train_features/ZJ000034.jpg,S0063,monkey_prosimian,ZJ000034.jpg,0.877,animal,0.877,"[0.6385, 0.5296, 0.1656, 0.3851]",True
ZJ000035,train_features/ZJ000035.jpg,S0062,rodent,ZJ000035.jpg,0.687,animal,0.687,"[0.3322, 0.6925, 0.1343, 0.1407]",True
ZJ000036,train_features/ZJ000036.jpg,S0060,civet_genet,ZJ000036.jpg,0.886,animal,0.886,"[0, 0.7592, 0.252, 0.2092]",True
ZJ000037,train_features/ZJ000037.jpg,S0073,antelope_duiker,ZJ000037.jpg,0.866,animal,0.866,"[0.4953, 0.6555, 0.2312, 0.3416]",True
ZJ000038,train_features/ZJ000038.jpg,S0070,monkey_prosimian,,,,,,False
ZJ000039,train_features/ZJ000039.jpg,S0053,antelope_duiker,ZJ000039.jpg,0.878,animal,0.878,"[0.2843, 0.4666, 0.05937, 0.2092]",True
ZJ000040,train_features/ZJ000040.jpg,S0060,civet_genet,,,,,,False
ZJ000041,train_features/ZJ000041.jpg,S0188,blank,,,,,,False
ZJ000042,train_features/ZJ000042.jpg,S0171,leopard,,,,,,False
ZJ000043,train_features/ZJ000043.jpg,S0134,antelope_duiker,ZJ000043.jpg,0.629,animal,0.629,"[0.3895, 0.6148, 0.1885, 0.1814]",True
ZJ000044,train_features/ZJ000044.jpg,S0059,civet_genet,ZJ000044.jpg,0.881,animal,0.881,"[0.7583, 0.5777, 0.2239, 0.1629]",True
ZJ000045,train_features/ZJ000045.jpg,S0077,blank,,,,,,False
ZJ000046,train_features/ZJ000046.jpg,S0022,leopard,,,,,,False
ZJ000047,train_features/ZJ000047.jpg,S0089,monkey_prosimian,,,,,,False
ZJ000048,train_features/ZJ000048.jpg,S0025,monkey_prosimian,ZJ000048.jpg,0.935,animal,0.935,"[0.1703, 0.1694, 0.3703, 0.8277]",True
ZJ000049,train_features/ZJ000049.jpg,S0063,antelope_duiker,ZJ000049.jpg,0.953,animal,0.953,"[0.5406, 0.4462, 0.1343, 0.3685]",True
ZJ000050,train_features/ZJ000050.jpg,S0120,rodent,ZJ000050.jpg,0.748,animal,0.748,"[0.0552, 0.4944, 0.1458, 0.1796]",True
ZJ000051,train_features/ZJ000051.jpg,S0042,blank,,,,,,False
ZJ000052,train_features/ZJ000052.jpg,S0170,hog,ZJ000052.jpg,0.786,animal,0.786,"[0.3722, 0.5208, 0.3638, 0.3874]",True
ZJ000053,train_features/ZJ000053.jpg,S0071,leopard,,,,,,False
ZJ000054,train_features/ZJ000054.jpg,S0063,rodent,,,,,,False
ZJ000055,train_features/ZJ000055.jpg,S0021,monkey_prosimian,,,,,,False
ZJ000056,train_features/ZJ000056.jpg,S0060,civet_genet,ZJ000056.jpg,0.901,animal,0.901,"[0.4083, 0.5425, 0.2374, 0.2351]",True
ZJ000057,train_features/ZJ000057.jpg,S0184,antelope_duiker,ZJ000057.jpg,0.735,animal,0.735,"[0.2197, 0.4277, 0.0802, 0.1296]",True
ZJ000058,train_features/ZJ000058.jpg,S0027,monkey_prosimian,,,,,,False
ZJ000059,train_features/ZJ000059.jpg,S0026,monkey_prosimian,ZJ000059.jpg,0.693,animal,0.693,"[0, 0.3333, 0.04687, 0.2638]",True
ZJ000060,train_features/ZJ000060.jpg,S0004,bird,,,,,,False
ZJ000061,train_features/ZJ000061.jpg,S0022,blank,,,,,,False
ZJ000062,train_features/ZJ000062.jpg,S0120,blank,,,,,,False
ZJ000063,train_features/ZJ000063.jpg,S0024,leopard,,,,,,False
ZJ000064,train_features/ZJ000064.jpg,S0035,blank,,,,,,False
ZJ000065,train_features/ZJ000065.jpg,S0063,antelope_duiker,ZJ000065.jpg,0.968,animal,0.968,"[0.7645, 0.337, 0.2041, 0.6314]",True
ZJ000066,train_features/ZJ000066.jpg,S0019,civet_genet,ZJ000066.jpg,0.845,animal,0.845,"[0.09895, 0.7425, 0.6343, 0.2277]",True
ZJ000067,train_features/ZJ000067.jpg,S0018,antelope_duiker,ZJ000067.jpg,0.905,animal,0.905,"[0.7135, 0.637, 0.102, 0.287]",True
ZJ000068,train_features/ZJ000068.jpg,S0069,rodent,ZJ000068.jpg,0.726,animal,0.726,"[0.3614, 0.8425, 0.07604, 0.1277]",True
ZJ000069,train_features/ZJ000069.jpg,S0060,civet_genet,ZJ000069.jpg,0.709,animal,0.709,"[0.04791, 0.5055, 0.4083, 0.3592]",True
ZJ000070,train_features/ZJ000070.jpg,S0008,blank,,,,,,False
ZJ000071,train_features/ZJ000071.jpg,S0081,bird,ZJ000071.jpg,0.83,animal,0.83,"[0, 0.7666, 0.06562, 0.1981]",True
ZJ000072,train_features/ZJ000072.jpg,S0014,hog,ZJ000072.jpg,0.872,animal,0.872,"[0.4281, 0.3194, 0.4124, 0.6333]",True
ZJ000073,train_features/ZJ000073.jpg,S0060,civet_genet,,,,,,False
ZJ000074,train_features/ZJ000074.jpg,S0008,bird,ZJ000074.jpg,0.754,animal,0.754,"[0.3249, 0.4888, 0.08124, 0.2638]",True
ZJ000075,train_features/ZJ000075.jpg,S0060,civet_genet,ZJ000075.jpg,0.718,animal,0.718,"[0.7374, 0.5722, 0.2624, 0.1777]",True
ZJ000076,train_features/ZJ000076.jpg,S0120,rodent,ZJ000076.jpg,0.914,animal,0.914,"[0.6718, 0.3333, 0.1124, 0.124]",True
ZJ000077,train_features/ZJ000077.jpg,S0069,civet_genet,,,,,,False
ZJ000078,train_features/ZJ000078.jpg,S0125,antelope_duiker,ZJ000078.jpg,0.901,animal,0.901,"[0.25, 0.001851, 0.6885, 0.9666]",True
