image_name,file,max_detection_conf,category,conf,bbox,bbox_normalized,bbox_true,bbox_im_size_224
ZJ000000,ZJ000000.jpg,0.69,animal,0.69,"(322, 109, 92, 69)","[0.1093, 0.5888, 0.0802, 0.1851]",True,"(136, 28, 33, 10)"
ZJ000001,ZJ000001.jpg,0.813,animal,0.813,"(4, 542, 515, 120)","[0.5604, 0, 0.1333, 0.9685]",True,"(4, 130, 209, 22)"
ZJ000002,ZJ000002.jpg,0.612,animal,0.612,"(284, 330, 56, 74)","[0.5093, 0.7777, 0.1281, 0.1777]",True,"(178, 118, 32, 21)"
ZJ000003,ZJ000003.jpg,0.686,animal,0.686,"(230, 4, 107, 129)","[0, 0.6277, 0.214, 0.3194]",True,"(145, 4, 64, 40)"
ZJ000004,ZJ000004.jpg,0.476,animal,0.476,"(194, 326, 91, 66)","[0.5031, 0.5671, 0.1156, 0.2955]",True,"(131, 117, 58, 18)"
ZJ000005,ZJ000005.jpg,0.975,animal,0.975,"(199, 6, 320, 787)","[0.002083, 0.3611, 0.8281, 0.6074]",True,"(85, 4, 128, 177)"
ZJ000006,ZJ000006.jpg,0.79,animal,0.79,"(338, 167, 128, 457)","[0.1697, 0.6185, 0.4843, 0.2518]",True,"(143, 42, 48, 100)"
ZJ000007,ZJ000007.jpg,0.334,animal,0.334,"(298, 324, 57, 134)","[0.4999, 0.8166, 0.2218, 0.1805]",True,"(187, 116, 32, 42)"
ZJ000008,ZJ000008.jpg,0.964,animal,0.964,"(150, 4, 369, 952)","[0, 0.2703, 1.0, 0.6981]",True,"(65, 4, 148, 216)"
ZJ000009,ZJ000009.jpg,0.823,animal,0.823,"(318, 745, 92, 31)","[0.7718, 0.6097, 0.04062, 0.1941]",True,"(141, 177, 35, 1)"
ZJ000010,ZJ000010.jpg,0.695,animal,0.695,"(4, 244, 327, 392)","[0.375, 0, 0.625, 1.0]",True,"(4, 88, 216, 132)"
ZJ000011,ZJ000011.jpg,0.0979,animal,0.0979,"(46, 116, 307, 519)","[0.1749, 0.1166, 0.8234, 0.875]",True,"(30, 43, 188, 176)"
ZJ000012,ZJ000012.jpg,0.559,animal,0.559,"(32, 90, 76, 18)","[0.5374, 0.2333, 0.1624, 0.6999]",True,"(56, 124, 149, 28)"
ZJ000013,ZJ000013.jpg,0.0059,animal,0.0059,"(342, 816, 66, 77)","[0.8458, 0.6259, 0.08854, 0.137]",True,"(144, 193, 23, 12)"
ZJ000014,ZJ000014.jpg,0.849,animal,0.849,"(259, 420, 80, 216)","[0.6499, 0.7083, 0.3499, 0.2444]",True,"(163, 150, 47, 70)"
ZJ000015,ZJ000015.jpg,,,,,,False,
ZJ000016,ZJ000016.jpg,0.0843,animal,0.0843,"(4, 5, 207, 351)","[0.002777, 0, 0.9972, 1.0]",True,"(4, 5, 216, 215)"
ZJ000017,ZJ000017.jpg,0.077,animal,0.077,"(49, 149, 19, 7)","[0.9062, 0.375, 0.09375, 0.2249]",True,"(88, 207, 42, 13)"
ZJ000018,ZJ000018.jpg,,,,,,False,
ZJ000019,ZJ000019.jpg,0.738,animal,0.738,"(157, 365, 115, 108)","[0.564, 0.425, 0.1812, 0.3416]",True,"(99, 130, 69, 33)"
ZJ000020,ZJ000020.jpg,0.167,person,0.167,"(4, 4, 207, 352)","[0, 0, 1.0, 1.0]",True,"(4, 4, 216, 216)"
ZJ000021,ZJ000021.jpg,0.52,animal,0.52,"(347, 550, 172, 51)","[0.5687, 0.6351, 0.06145, 0.3333]",True,"(146, 131, 67, 6)"
ZJ000022,ZJ000022.jpg,0.951,animal,0.951,"(209, 334, 130, 150)","[0.5156, 0.5694, 0.2468, 0.3833]",True,"(132, 119, 78, 47)"
ZJ000023,ZJ000023.jpg,0.558,animal,0.558,"(321, 4, 189, 951)","[0, 0.6155, 0.9989, 0.3825]",True,"(142, 4, 78, 216)"
ZJ000024,ZJ000024.jpg,0.693,animal,0.693,"(188, 67, 94, 176)","[0.09843, 0.5111, 0.2874, 0.2833]",True,"(118, 26, 55, 56)"
ZJ000025,ZJ000025.jpg,0.137,animal,0.137,"(244, 399, 34, 59)","[0.4114, 0.4444, 0.06979, 0.07777]",True,"(104, 96, 9, 8)"
ZJ000026,ZJ000026.jpg,0.957,animal,0.957,"(152, 428, 165, 208)","[0.6625, 0.4111, 0.3375, 0.4805]",True,"(96, 152, 100, 68)"
ZJ000027,ZJ000027.jpg,0.307,animal,0.307,"(91, 392, 284, 98)","[0.4041, 0.1611, 0.1104, 0.5407]",True,"(40, 95, 113, 17)"
ZJ000028,ZJ000028.jpg,0.615,animal,0.615,"(162, 165, 35, 60)","[0.4472, 0.6583, 0.1888, 0.1791]",True,"(151, 104, 32, 34)"
ZJ000029,ZJ000029.jpg,,,,,,False,
ZJ000030,ZJ000030.jpg,0.713,animal,0.713,"(162, 339, 71, 72)","[0.5234, 0.4388, 0.125, 0.2194]",True,"(102, 121, 41, 20)"
ZJ000031,ZJ000031.jpg,0.943,animal,0.943,"(220, 488, 192, 202)","[0.5041, 0.3999, 0.2187, 0.3703]",True,"(94, 117, 75, 41)"
ZJ000032,ZJ000032.jpg,0.878,animal,0.878,"(173, 549, 100, 87)","[0.8515, 0.4694, 0.1484, 0.3]",True,"(109, 195, 59, 25)"
ZJ000033,ZJ000033.jpg,0.921,animal,0.921,"(330, 124, 120, 258)","[0.125, 0.6037, 0.277, 0.237]",True,"(139, 32, 45, 54)"
ZJ000034,ZJ000034.jpg,0.877,animal,0.877,"(290, 617, 200, 151)","[0.6385, 0.5296, 0.1656, 0.3851]",True,"(123, 147, 78, 29)"
ZJ000035,ZJ000035.jpg,0.687,animal,0.687,"(378, 323, 68, 121)","[0.3322, 0.6925, 0.1343, 0.1407]",True,"(159, 78, 24, 22)"
ZJ000036,ZJ000036.jpg,0.886,animal,0.886,"(414, 4, 105, 234)","[0, 0.7592, 0.252, 0.2092]",True,"(174, 4, 39, 48)"
ZJ000037,ZJ000037.jpg,0.866,animal,0.866,"(240, 321, 115, 140)","[0.4953, 0.6555, 0.2312, 0.3416]",True,"(151, 115, 69, 44)"
ZJ000038,ZJ000038.jpg,0.546,animal,0.546,"(354, 210, 165, 165)","[0.2145, 0.6481, 0.1802, 0.3203]",True,"(149, 52, 64, 32)"
ZJ000039,ZJ000039.jpg,0.878,animal,0.878,"(256, 277, 105, 49)","[0.2843, 0.4666, 0.05937, 0.2092]",True,"(109, 68, 39, 5)"
ZJ000040,ZJ000040.jpg,0.452,animal,0.452,"(338, 150, 127, 104)","[0.152, 0.6185, 0.1166, 0.25]",True,"(143, 38, 48, 18)"
ZJ000041,ZJ000041.jpg,,,,,,False,
ZJ000042,ZJ000042.jpg,0.242,animal,0.242,"(175, 216, 36, 64)","[0.5888, 0.7125, 0.2, 0.1833]",True,"(164, 136, 33, 37)"
ZJ000043,ZJ000043.jpg,0.629,animal,0.629,"(336, 378, 90, 173)","[0.3895, 0.6148, 0.1885, 0.1814]",True,"(142, 91, 33, 34)"
ZJ000044,ZJ000044.jpg,0.881,animal,0.881,"(316, 732, 80, 207)","[0.7583, 0.5777, 0.2239, 0.1629]",True,"(133, 174, 28, 42)"
ZJ000045,ZJ000045.jpg,0.0276,animal,0.0276,"(268, 4, 48, 74)","[0, 0.7333, 0.1281, 0.1555]",True,"(168, 4, 27, 21)"
