index,id,filepath,site,split,max_detection_conf,category,conf,bbox,bbox_true,bbox_transformed
0,ZJ000000,train_features/ZJ000000.jpg,S0120,2.0,0.69,animal,0.69,"[0.1093, 0.5888, 0.0802, 0.1851]",True,"(322, 109, 92, 69)"
1,ZJ000001,train_features/ZJ000001.jpg,S0069,3.0,0.813,animal,0.813,"[0.5604, 0, 0.1333, 0.9685]",True,"(4, 542, 515, 120)"
2,ZJ000002,train_features/ZJ000002.jpg,S0009,0.0,0.612,animal,0.612,"[0.5093, 0.7777, 0.1281, 0.1777]",True,"(284, 330, 56, 74)"
3,ZJ000003,train_features/ZJ000003.jpg,S0008,4.0,0.686,animal,0.686,"[0, 0.6277, 0.214, 0.3194]",True,"(230, 4, 107, 129)"
4,ZJ000004,train_features/ZJ000004.jpg,S0036,0.0,0.476,animal,0.476,"[0.5031, 0.5671, 0.1156, 0.2955]",True,"(194, 326, 91, 66)"
5,ZJ000005,train_features/ZJ000005.jpg,S0019,0.0,0.975,animal,0.975,"[0.002083, 0.3611, 0.8281, 0.6074]",True,"(199, 6, 320, 787)"
6,ZJ000006,train_features/ZJ000006.jpg,S0060,2.0,0.79,animal,0.79,"[0.1697, 0.6185, 0.4843, 0.2518]",True,"(338, 167, 128, 457)"
7,ZJ000007,train_features/ZJ000007.jpg,S0047,2.0,0.334,animal,0.334,"[0.4999, 0.8166, 0.2218, 0.1805]",True,"(298, 324, 57, 134)"
8,ZJ000008,train_features/ZJ000008.jpg,S0083,2.0,0.964,animal,0.964,"[0, 0.2703, 1.0, 0.6981]",True,"(150, 4, 369, 952)"
9,ZJ000009,train_features/ZJ000009.jpg,S0059,4.0,0.823,animal,0.823,"[0.7718, 0.6097, 0.04062, 0.1941]",True,"(318, 745, 92, 31)"
10,ZJ000010,train_features/ZJ000010.jpg,S0076,3.0,0.695,animal,0.695,"[0.375, 0, 0.625, 1.0]",True,"(4, 244, 327, 392)"
11,ZJ000011,train_features/ZJ000011.jpg,S0014,4.0,0.0979,animal,0.0979,"[0.1749, 0.1166, 0.8234, 0.875]",True,"(46, 116, 307, 519)"
12,ZJ000012,train_features/ZJ000012.jpg,S0080,1.0,0.559,animal,0.559,"[0.5374, 0.2333, 0.1624, 0.6999]",True,"(32, 90, 76, 18)"
13,ZJ000013,train_features/ZJ000013.jpg,S0061,1.0,0.0059,animal,0.0059,"[0.8458, 0.6259, 0.08854, 0.137]",True,"(342, 816, 66, 77)"
14,ZJ000014,train_features/ZJ000014.jpg,S0075,4.0,0.849,animal,0.849,"[0.6499, 0.7083, 0.3499, 0.2444]",True,"(259, 420, 80, 216)"
15,ZJ000015,train_features/ZJ000015.jpg,S0003,2.0,,,,,False,
