image_name,file,max_detection_conf,category,conf,bbox,conf_th
ZJ000000,ZJ000000.jpg,0.69,animal,0.69,"[0.1093, 0.5888, 0.0802, 0.1851]",True
ZJ000001,ZJ000001.jpg,0.813,animal,0.813,"[0.5604, 0, 0.1333, 0.9685]",True
ZJ000002,ZJ000002.jpg,0.612,animal,0.612,"[0.5093, 0.7777, 0.1281, 0.1777]",True
ZJ000003,ZJ000003.jpg,0.686,animal,0.686,"[0, 0.6277, 0.214, 0.3194]",True
ZJ000004,ZJ000004.jpg,0.476,animal,0.476,"[0.5031, 0.5671, 0.1156, 0.2955]",False
ZJ000005,ZJ000005.jpg,0.975,animal,0.975,"[0.002083, 0.3611, 0.8281, 0.6074]",True
ZJ000006,ZJ000006.jpg,0.79,animal,0.79,"[0.1697, 0.6185, 0.4843, 0.2518]",True
ZJ000007,ZJ000007.jpg,0.334,animal,0.334,"[0.4999, 0.8166, 0.2218, 0.1805]",False
ZJ000008,ZJ000008.jpg,0.964,animal,0.964,"[0, 0.2703, 1.0, 0.6981]",True
ZJ000009,ZJ000009.jpg,0.823,animal,0.823,"[0.7718, 0.6097, 0.04062, 0.1941]",True
ZJ000010,ZJ000010.jpg,0.695,animal,0.695,"[0.375, 0, 0.625, 1.0]",True
ZJ000011,ZJ000011.jpg,0.0979,animal,0.0979,"[0.1749, 0.1166, 0.8234, 0.875]",False
ZJ000012,ZJ000012.jpg,0.559,animal,0.559,"[0.5374, 0.2333, 0.1624, 0.6999]",False
ZJ000013,ZJ000013.jpg,0.0059,animal,0.0059,"[0.8458, 0.6259, 0.08854, 0.137]",False
ZJ000014,ZJ000014.jpg,0.849,animal,0.849,"[0.6499, 0.7083, 0.3499, 0.2444]",True
ZJ000015,ZJ000015.jpg,,,,,False
ZJ000016,ZJ000016.jpg,0.0843,animal,0.0843,"[0.002777, 0, 0.9972, 1.0]",False
ZJ000017,ZJ000017.jpg,0.077,animal,0.077,"[0.9062, 0.375, 0.09375, 0.2249]",False
ZJ000018,ZJ000018.jpg,,,,,False
ZJ000019,ZJ000019.jpg,0.738,animal,0.738,"[0.564, 0.425, 0.1812, 0.3416]",True
ZJ000020,ZJ000020.jpg,0.167,person,0.167,"[0, 0, 1.0, 1.0]",False
ZJ000021,ZJ000021.jpg,0.52,animal,0.52,"[0.5687, 0.6351, 0.06145, 0.3333]",False
ZJ000022,ZJ000022.jpg,0.951,animal,0.951,"[0.5156, 0.5694, 0.2468, 0.3833]",True
ZJ000023,ZJ000023.jpg,0.558,animal,0.558,"[0, 0.6155, 0.9989, 0.3825]",False
