id,filepath,site,conf,bbox,bbox_normalized,bbox_true,bbox_im_size_224
ZJ016488,test_features/ZJ016488.jpg,S0082,0.63,"(323, 704, 195, 252)","[0.7291, 0.5907, 0.2708, 0.3759]",True,"(136, 167, 76, 53)"
ZJ016489,test_features/ZJ016489.jpg,S0040,0.733,"(283, 84, 81, 156)","[0.08333, 0.5166, 0.1708, 0.1648]",True,"(120, 23, 29, 30)"
ZJ016490,test_features/ZJ016490.jpg,S0040,0.363,"(291, 4, 227, 730)","[0, 0.5314, 0.7687, 0.4351]",True,"(123, 4, 89, 164)"
ZJ016491,test_features/ZJ016491.jpg,S0041,0.876,"(41, 4, 289, 632)","[0, 0.1104, 1.0, 0.8865]",True,"(29, 4, 191, 216)"
ZJ016492,test_features/ZJ016492.jpg,S0040,0.78,"(196, 360, 102, 136)","[0.3708, 0.3555, 0.15, 0.2037]",True,"(84, 87, 38, 26)"
ZJ016493,test_features/ZJ016493.jpg,S0128,0.918,"(292, 485, 48, 151)","[0.7515, 0.7999, 0.2484, 0.1555]",True,"(183, 172, 27, 48)"
ZJ016494,test_features/ZJ016494.jpg,S0166,0.0096,"(192, 354, 10, 2)","[0.5468, 0.5222, 0.01562, 0.05]",True,"(121, 126, 3, -5)"
ZJ016495,test_features/ZJ016495.jpg,S0082,0.694,"(242, 5, 226, 398)","[0.001041, 0.4407, 0.4229, 0.4333]",True,"(103, 4, 89, 87)"
ZJ016496,test_features/ZJ016496.jpg,S0012,0.679,"(346, 39, 55, 194)","[0.03645, 0.6333, 0.2104, 0.1166]",True,"(146, 12, 18, 39)"
ZJ016497,test_features/ZJ016497.jpg,S0082,0.609,"(234, 674, 246, 282)","[0.6979, 0.4259, 0.302, 0.4703]",True,"(99, 160, 97, 60)"
ZJ016498,test_features/ZJ016498.jpg,S0040,0.453,"(204, 303, 191, 86)","[0.3114, 0.3883, 0.09791, 0.3864]",True,"(91, 74, 79, 14)"
ZJ016499,test_features/ZJ016499.jpg,S0086,0.471,"(79, 42, 63, 58)","[0.1187, 0.3125, 0.2062, 0.2958]",True,"(74, 31, 58, 38)"
ZJ016500,test_features/ZJ016500.jpg,S0126,0.948,"(412, 508, 88, 168)","[0.525, 0.7555, 0.1833, 0.1777]",True,"(173, 122, 32, 33)"
ZJ016501,test_features/ZJ016501.jpg,S0151,0.428,"(232, 132, 45, 71)","[0.1999, 0.6333, 0.1234, 0.1472]",True,"(146, 49, 25, 20)"
ZJ016502,test_features/ZJ016502.jpg,S0151,0.415,"(240, 446, 32, 60)","[0.6906, 0.6555, 0.1062, 0.1111]",True,"(151, 159, 17, 16)"
ZJ016503,test_features/ZJ016503.jpg,S0162,0.62,"(203, 498, 137, 150)","[0.5145, 0.3685, 0.1645, 0.2685]",True,"(87, 119, 52, 29)"
ZJ016504,test_features/ZJ016504.jpg,S0162,0.0174,"(320, 311, 59, 37)","[0.3197, 0.5851, 0.04687, 0.124]",True,"(135, 76, 20, 2)"
ZJ016505,test_features/ZJ016505.jpg,S0162,,,,False,
ZJ016506,test_features/ZJ016506.jpg,S0128,0.785,"(276, 288, 29, 24)","[0.4437, 0.7555, 0.05, 0.1027]",True,"(173, 103, 15, 3)"
ZJ016507,test_features/ZJ016507.jpg,S0040,0.785,"(244, 370, 61, 177)","[0.3812, 0.4444, 0.1927, 0.1277]",True,"(104, 89, 21, 35)"
ZJ016508,test_features/ZJ016508.jpg,S0128,0.0499,"(315, 4, 24, 50)","[0, 0.8638, 0.09062, 0.08888]",True,"(197, 4, 12, 12)"
ZJ016509,test_features/ZJ016509.jpg,S0116,0.887,"(259, 359, 80, 45)","[0.5546, 0.7083, 0.08281, 0.2444]",True,"(163, 128, 47, 11)"
ZJ016510,test_features/ZJ016510.jpg,S0162,0.52,"(431, 4, 73, 121)","[0, 0.7907, 0.1343, 0.15]",True,"(181, 4, 26, 22)"
